IdStem;Subplot;Quadra.nb.X;Quadra.nb.Y;Dist.X;Dist.Y;DBH
13_0001_1;13;0;0;1,3;2,5;3
13_0002_1;13;0;0;1,7;2,5;1
13_0003_1;13;0;0;2,15;3;1,2
13_0004_1;13;0;0;2,4;3,5;1,3
13_0005_1;13;0;0;3,55;2,7;1,6
13_0006_1;13;0;0;3,2;1,8;1,5
13_0007_1;13;0;0;4,8;2,6;1,2
13_0008_1;13;0;0;3,3;4,2;1,2
13_0009_1;13;0;0;1,9;5,9;2,5
13_0010_1;13;0;0;0,8;5,7;3
13_0011_1;13;0;0;0,4;6,9;2,2
13_0012_1;13;0;0;0;7,9;1,9
13_0013_1;13;0;0;1,2;7,7;1,5
13_0014_1;13;0;0;1,4;7,4;8,9
13_0015_1;13;0;0;1;8,1;1,2
13_0016_1;13;0;0;1,4;8,4;1,8
13_0017_1;13;0;0;1,2;9,5;1,1
13_0018_1;13;0;0;1,2;9,5;1,2
13_0019_1;13;0;0;1,5;8,6;1,7
13_0020_1;13;0;0;3,2;6,7;1
13_0021_1;13;0;0;3,8;6,5;3,3
13_0022_1;13;0;0;7;8,4;2,7
13_0023_1;13;0;0;8;7,6;2,3
13_0024_1;13;0;0;7,1;6,1;3,5
13_0025_1;13;0;0;1;1;1
13_0026_1;13;0;0;7,3;3,5;2,2
13_0027_1;13;0;0;7,5;3,7;1,5
13_0028_1;13;0;0;9;3,1;2,9
13_0029_1;13;0;0;5,4;1,7;1,8
13_0035_1;13;0;1;2,9;2,8;1,4
13_0036_1;13;0;1;3,9;5,4;1,9
13_0037_1;13;0;1;2,4;6,3;1,5
13_0038_1;13;0;1;1,5;7,2;1,5
13_0039_1;13;0;1;1,2;8,5;1,4
13_0040_1;13;0;1;1,6;9,1;2,2
13_0041_1;13;0;1;0,8;9,7;1,7
13_0042_1;13;0;1;1,1;9,9;8,4
13_0043_1;13;0;1;3,8;7;1,4
13_0044_1;13;0;1;3,2;6,4;6,5
13_0045_1;13;0;1;4,7;8,2;1,5
13_0046_1;13;0;1;8;9,2;5,1
13_0047_1;13;0;1;8,8;7,3;3
13_0048_1;13;0;1;8,5;6,9;1,3
13_0049_1;13;0;1;5,8;7;1,6
13_0050_1;13;0;1;8,8;5,2;2,4
13_0051_1;13;0;1;8,7;4,1;1,9
13_0052_1;13;0;1;7,1;4,4;1,6
13_0053_1;13;0;1;7,3;3,6;1,3
13_0054_1;13;0;1;8,3;3,1;1,4
13_0055_1;13;0;1;8,8;3,4;1,1
13_0056_1;13;0;1;8,6;2;1,3
13_0057_1;13;0;1;8,4;2,1;2,2
13_0058_1;13;0;1;7,3;2,6;6,1
13_0059_1;13;0;1;6,9;2,1;2,2
